TransactionTypeID,Name,Code,ActionOnShare,ActionOnProceed
1,'Sale','SAL','-1','1'
2,'Purchase','PUR','1','-1'
3,'Interest','INT','N/A','1'
4,'Dividend','DIV','N/A','1'
5,'Principal','PRN','N/A','N/A'
6,'Misc','MISC','N/A','N/A'
7,'Split','SPLT','N/A','N/A'
8,'Other Gain/Loss','OTH','N/A','N/A'
9,'Cash in Lieu','CSHINL','N/A','N/A'
10,'Income Received','INCREC','N/A','N/A'
11,'Cancel Sale','CSAL','1','-1'
12,'Cancel Purchase','CPUR','-1','1'
13,'Transfer Positive','TRF+','1','N/A'
14,'Transfer Negative','TRF-','-1','N/A'
15,'Transfer','TRF',,'N/A'
16,'CUSIP Change','CUSIP Ch',,'N/A'
17,'Exchange','EXCHANGE','1','N/A'
18,'Stock Loan','STOCKLOAN','1','N/A'
200,'CORPORATE ACTION','CACS','1','N/A'
201,'MERGER','MERG','1','N/A'
202,'REVERSE SPLIT','RSPLIT','N/A','N/A'
203,'SPLIT','SPLIT','N/A','N/A'
204,'SPIN OFF','SPINOFF','N/A','N/A'
205,'SALE OF FRACTIONAL SHARES','FRACSHAR','-1','1'
206,'CAPITAL REORGANIZATION','CREORG','N/A','N/A'
301,'PAYDOWN','PAYD','-1','1'
302,'PAYUP','PAYU','1','-1'
303,'CANCEL PAY DOWN','CXLDN','1','-1'
304,'CANCEL PAY UP','CXLUP','-1','1'
401,'SHORT SALE','SSAL','-1','1'
402,'CANCEL SHORT SALE','CSSAL','1','-1'
403,'SHORT BUY','SPUR','1','-1'
404,'CANCEL SHORT BUY','CSPUR','-1','1'
501,'LENDING IN','LEDIN','1','N/A'
502,'LENDING OUT','LEDOUT','-1','N/A'
