MediumOfExchangeId,BaseCurrencyID,Name,IsInverseQuoted,Description,Multiplier,ExtendedDescription,ReutersCode,CountryId,EzeCurrencyCode
1,,ARS,0,Argentinian Peso,1,ARS CURNCY,ARS=,,
2,,ATS,0,Austrian Shilling,1,ATS CURNCY,ATS=,,
3,,AUD,1,Australian Dollar,1,AUD CURNCY,AUD=,,
4,,BMD,0,Bermuda Dollar,1,BMD CURNCY,BMD=,,
5,,CAD,0,Canadian Dollar,1,CAD CURNCY,CAD=,,
6,,CHF,0,Swiss Franc,1,CHF CURNCY,CHF=,,
7,,CLP,0,Columbian Peso,1,CLP CURNCY,CLP=,,
8,,DEM,0,Deutsche Mark,1,DEM CURNCY,DEM=,,
9,,DKK,0,Danish Kroner,1,DKK CURNCY,DKK=,,
10,,ESP,0,Spanish Peseta,1,ESP CURNCY,ESP=,,
11,,EUR,1,Euro,1,EUR CURNCY,EUR=,,
12,,FIM,0,Finnish Mark,1,FIM CURNCY,FIM=,,
13,,FRF,0,French Franc,1,FRF CURNCY,FRF=,,
14,,GBP,1,British Pound,1,GBP CURNCY,GBP=,,
15,,GRD,0,Greek Drachma,1,GRD CURNCY,GRD=,,
16,,HKD,0,Hong Kong Dollar,1,HKD CURNCY,HKD=,,
17,,INR,0,Indian Rupee,1,INR CURNCY,INR=,,
18,,ITL,0,Italian Lira,1,ITL CURNCY,ITL=,,
19,,JPY,0,Japanese Yen,1,JPY CURNCY,JPY=,,
20,,KRW,0,Korean Won,1,KRW CURNCY,KRW=,,
21,,MXN,0,Mexican Peso,1,MXN CURNCY,MXN=,,
22,,MYR,0,Malayasian Ringgit,1,MYR CURNCY,MYR=,,
23,,NLG,0,Dutch Guilder,1,NLG CURNCY,NLG=,,
24,,NOK,0,Norwegian Kroner,1,NOK CURNCY,NOK=,,
25,,NZD,1,New Zealand Dollar,1,NZD CURNCY,NZD=,,
26,,PTE,0,Portugese Escudo,1,PTE CURNCY,PTE=,,
27,,SEK,0,Swedish Kroner,1,SEK CURNCY,SEK=,,
28,,SGD,0,Singapore Dollar,1,SGD CURNCY,SGD=,,
29,,THB,0,Thailand Baht,1,THB CURNCY,THB=,,
30,,TRY,0,Turkish New Lira,1,TRY CURNCY,TRY=,,
31,,TWD,0,Taiwanese Dollar,1,TWD CURNCY,TWD=,,
32,,USD,1,United States Dollar,1,USD CURNCY,USD=,,
33,,ZAR,0,South African Rand,1,ZAR CURNCY,ZAR=,,
34,,BGN,0,Bulgarian Lev,1,BGN CURNCY,BGN=,,
35,,BRL,0,Brazil Real,1,BRL CURNCY,BRL=,,
36,,CNY,0,China Renminbi,1,CNY CURNCY,CNY=,,
37,,COP,0,Colombian Peso,1,COP CURNCY,COP=,,
38,,CZK,0,Czech Koruna,1,CZK CURNCY,CZK=,,
39,,EEK,0,Estonian Kroon,1,EEK CURNCY,EEK=,,
40,,EGP,0,Egyptian Pound,1,EGP CURNCY,EGP=,,
41,,HUF,0,Hungarian Forint,1,HUF CURNCY,HUF=,,
42,,IDR,0,Indonesian Rupiah,1,IDR CURNCY,IDR=,,
43,,ILS,0,Israeli Shekel,1,ILS CURNCY,ILS=,,
44,,LKR,0,Sri Lankan Rupee,1,LKR CURNCY,LKR=,,
45,,LTL,0,Lithuania,1,LTL CURNCY,LTL=,,
46,,PEN,0,Peru,1,PEN CURNCY,PEN=,,
47,,PHP,0,Philippines,1,PHP CURNCY,PHP=,,
48,,PKR,0,Pakistan,1,PKR CURNCY,PKR=,,
49,,PLN,0,Poland Zloty,1,PLN CURNCY,PLN=,,
50,,RUB,0,Russian Federation,1,RUB CURNCY,RUB=,,
51,,VEB,0,Venezuela Bolivar,1,VEB CURNCY,VEB=,,
52,,ECS,0,Ecuadorean Sucre,1,ECS CURNCY,ECS=,,
53,,KYD,1,Cayman Islands Dollar,1,KYD CURNCY,KYD=,,
54,,MAD,0,MORROCAN DIRHAM,1,MAD CURNCY,MAD=,,
58,,ISK,0,Icelan Krona,1,ISK CURNCY,ISK=,,
59,,KZT,0,Kazakhstan Tenge,1,KZT CURNCY,KZT=,,
60,,GEL,0,Georgian Lari,1,GEL CURNCY,GEL=,,
61,,LBP,0,Lebanese Pound,1,LBP CURNCY,LBP=,,
62,,HRK,0,Croatian Kuna,1,HRK CURNCY,HRK=,,
63,,ADP,0,Andorran Peseta,1,ADP CURNCY,ADP=,,
64,,AED,0,United Arab Emirates Dirham,1,AED CURNCY,AED=,,
65,,KWD,0,Kuwaiti Dinar,1,KWD CURNCY,KWD=,,
66,,QAR,0,Qatari Rial,1,QAR CURNCY,QAR=,,
67,,SAR,0,Saudi Arabian Riyal,1,SAR CURNCY,SAR=,,
68,,MOP,0,Macanese Pataca,1,MOP CURNCY,MOP=,,
