ScheduleId,ApplicationId,PersonId,WorkDate,StartTime,EndTime,TotalHoursWorked,NextWorkDate,NextWorkTime,ScheduleStateId,CreatedDate,ModifiedDate,CreatedByAuditId,ModifiedByAuditId,PlannedHours
1000,200,102,1/2/2016,1/31/2016 8:30,1/31/2016 16:30,6.5,1/3/2016,1/31/2016 9:00,35300,1/30/2016,1/30/2016 13:33,10,10,8
1001,200,106,1/18/2016,2/4/2016 15:30,2/4/2016 17:30,2,1/20/2016,2/4/2016 9:00,35300,2/4/2016 0:23,2/4/2016 0:23,100012,100012,8
1002,200,105,5/14/2016,12/24/2016 7:18,12/24/2016 7:00,7,5/14/2016,12/24/2016 7:18,35100,12/26/2016 1:10,12/26/2016 1:10,-1,-1,8
1003,200,103,1/1/2016,1/1/1900 8:00,1/1/1900 6:00,8,2/1/2016,1/1/1900 8:00,35300,1/1/2016,1/1/2016,200,200,8
1004,200,103,5/23/2016,5/23/2016 9:00,5/23/2016 18:30,8,5/24/2016,5/31/2016 8:00,35300,5/31/2016 1:58,5/31/2016 1:58,200,200,8
1005,200,103,5/22/2016,5/22/2016 9:00,5/22/2016 18:30,8,5/23/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:57,200,200,8
1006,200,103,5/21/2016,5/21/2016 8:00,5/21/2016 18:30,8,5/22/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:54,200,200,8
1007,200,103,5/31/2016,5/31/2016 9:00,5/31/2016 18:00,8,6/2/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:47,200,200,8
1008,200,103,5/30/2016,5/30/2016 9:00,5/30/2016 18:00,8,5/31/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:26,200,200,8
1009,200,103,5/28/2016,5/28/2016 9:00,5/28/2016 19:00,9,5/30/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:23,200,200,8
1010,200,103,5/27/2016,5/27/2016 9:00,5/27/2016 19:00,9,5/28/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:15,200,200,8
1011,200,103,5/26/2016,5/26/2016 8:00,5/26/2016 20:00,8,5/27/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:13,200,200,8
1012,200,103,5/24/2016,5/24/2016 8:30,5/24/2016 13:30,5,5/26/2016,5/31/2016 8:00,35300,5/31/2016,5/31/2016 1:10,200,200,8
1013,200,103,5/20/2016,5/20/2016 8:00,5/20/2016 19:00,8,5/21/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:42,200,200,8
1014,200,103,5/19/2016,5/19/2016 8:30,5/19/2016 20:00,8,5/20/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:40,200,200,8
1015,200,103,5/16/2016,5/16/2016 8:00,5/16/2016 19:30,8,5/19/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:37,200,200,8
1016,200,103,5/15/2016,5/15/2016 8:00,5/15/2016,8,5/16/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:35,200,200,8
1017,200,103,5/14/2016,5/14/2016 8:00,5/14/2016 0:30,9,5/15/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:32,200,200,8
1018,200,103,5/13/2016,5/13/2016 8:00,5/13/2016 21:30,9,5/14/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:29,200,200,8
1019,200,103,5/12/2016,5/12/2016 8:00,5/12/2016 18:30,8,5/13/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:27,200,200,8
1020,200,103,5/10/2016,5/10/2016 10:00,5/10/2016 18:30,4,5/12/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:25,200,200,8
1021,200,103,5/9/2016,5/9/2016 8:00,5/9/2016 21:30,8,5/10/2016,5/21/2016 8:30,35300,5/20/2016,5/21/2016 1:49,200,200,8
1022,200,103,5/8/2016,5/8/2016 8:00,5/8/2016 22:30,9,5/9/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:48,200,200,8
1023,200,103,5/7/2016,5/7/2016 8:00,5/7/2016 18:30,8,5/8/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:47,200,200,8
1024,200,103,5/6/2016,5/6/2016 8:30,5/6/2016 18:30,8,5/7/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:46,200,200,8
1025,200,103,5/5/2016,5/5/2016 8:30,5/5/2016 19:30,8,5/6/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:44,200,200,8
1026,200,103,5/2/2016,5/2/2016 8:30,5/2/2016 20:30,8,5/5/2016,5/21/2016 8:00,35300,5/20/2016,5/21/2016 1:44,200,200,8
