JurisdictionID,Name,Code
1,'Alabama - Middle District','MDAL'
2,'Alabama - Northern District','NDAL'
3,'Alabama - Southern District','SDAL'
4,'Alaska','AK'
5,'Arizona','AZ'
6,'Arkansas - Eastern District','EDAR'
7,'Arkansas - Western District','WDAR'
8,'California - Central Distict','CDCA'
9,'California - Eastern Disctrict','EDCA'
10,'California - Northern District','NDCA'
11,'California - Southern District','SDCA'
12,'Colorado','COLO'
13,'Connecticut','CONN'
14,'Delaware','DE'
15,'District of Columbia','DC'
16,'Florida - Middle District','MDFL'
17,'Florida - Northern District','NDFL'
18,'Florida - Southern District','SDFL'
19,'Georgia - Middle District','MDGA'
20,'Georgia - Northern District','NDGA'
21,'Georgia - Southern District','SDGA'
22,'Guam','GUAM'
23,'Hawaii','HI'
24,'Idaho','ID'
25,'Illinois - Central District','CDIL'
26,'Illinois - Northern District','NDIL'
27,'Illinois - Southern District','SDIL'
28,'Indiana - Northern District','NDIN'
29,'Indiana - Southern District','SDIN'
30,'Iowa - Northern District','NDIA'
31,'Iowa - Southern District','SDIA'
32,'Kansas','KS'
33,'Kentucky - Eastern District','EDKY'
34,'Kentucky - Western District','WDKY'
35,'Louisiana - Eastern District','EDLA'
36,'Louisiana - Middle District','MDLA'
37,'Louisiana - Western District','WDLA'
38,'Maine','ME'
39,'Maryland','MD'
40,'Massachusetts','MA'
41,'Michigan - Eastern District','EDMI'
42,'Michigan - Western District','WDMI'
43,'Minnesota','MN'
44,'Mississippi - Northern District','NDMS'
45,'Mississippi - Southern District','SDMS'
46,'Missouri - Eastern District','EDMO'
47,'Missouri - Western District','WDMO'
48,'Montana','MT'
49,'Nebraska','NE'
50,'Nevada','NV'
51,'New Hampshire','NH'
52,'New Jersey','NJ'
53,'New Mexico','NM'
54,'New York - Eastern District','EDNY'
55,'New York - Northern District','NDNY'
56,'New York - Southern District','SDNY'
57,'New York - Western District','WDNY'
58,'North Carolina - Eastern District','EDNC'
59,'North Carolina - Middle District','MDNC'
60,'North Carolina - Western District','WDNC'
61,'North Dakota','ND'
62,'Northern Mariana Islands','NMI'
63,'Ohio - Northern District','NDOH'
64,'Ohio - Southern District','SDOH'
65,'Oklahoma - Eastern District','EDOK'
66,'Oklahoma - Northern District','NDOK'
67,'Oklahoma - Western District','WDOK'
68,'Oregon','OR'
69,'Pennsylvania - Eastern District','EDPA'
70,'Pennsylvania - Middle District','MDPA'
71,'Pennsylvania - Western District','WDPA'
72,'Puerto Rico','PR'
73,'Rhode Island','RI'
74,'South Carolina','SC'
75,'South Dakota','SD'
76,'Tennessee - Eastern District','EDTN'
77,'Tennessee - Middle District','MDTN'
78,'Tennessee - Western District','WDTN'
79,'Texas - Eastern District','EDTX'
80,'Texas - Northern District','NDTX'
81,'Texas - Southern District','SDTX'
82,'Texas - Western District','WDTX'
83,'Utah','UT'
84,'Vermont','VT'
85,'Virgin Islands','VI'
86,'Virginia - Eastern District','EDVA'
87,'Virginia - Western District','WDVA'
88,'Washington - Eastern District','EDWA'
89,'Washington - Western District','WDWA'
90,'West Virginia - Northern District','NDWV'
91,'West Virginia - Sourthern District','SDWV'
92,'Wisconsin - Eastern District','EDWI'
93,'Wisconsin - Western District','WDWI'
94,'Wyoming','WY'
96,'Delaware Chancery','DEL CH'
97,'West Virginia - Eastern District','EDWV'
98,'West Virginia - Western District','WDWV'
