CityId,Name,Description,CountryId
1,Achalpur,Achalpur,-10
2,Achhnera,Achhnera,-10
3,Adalaj,Adalaj,-10
4,Adilabad,Adilabad,-10
5,Bagaha,Bagaha,-10
6,Bageshwar,Bageshwar,-10
7,Bahadurgarh,Bahadurgarh,-10
8,Baharampur,Baharampur,-10
9,Chandausi,Chandausi,-10
10,Chaibasa,Chaibasa,-10
11,Chandigarh,Chandigarh,-10
12,Charkhi,Charkhi,-10
13,Darjiling,Darjiling,-10
14,Davanagere,Davanagere,-10
15,Deesa,Deesa,-10
16,Dehradun,Dehradun,-10
17,Eluru,Eluru,-10
18,Erode,Erode,-10
19,English Bazar,EnglishBazar,-10
20,Etawah,Etawah,-10
21,Faridabad,Faridabad,-10
22,Faridkot,Faridkot,-10
23,Firozabad,Firozabad,-10
24,Farooqnagar,Farooqnagar,-10
25,Gadwal,Gadwal,-10
26,Gangarampur,Gangarampur,-10
27,Ganjbasoda,Ganjbasoda,-10
28,Ghaziabad,Ghaziabad,-10
29,Habra,Habra,-10
30,Hajipur,ajipur, -10
31,Haldwani,Haldwani,-10
32,Hansi,Hansi,-10
33,Indore,Indore,-10
34,Itarsi,Itarsi,-10
35,Islampur,Islampur,-10
36,Jagraon,Jagraon,-10
37,Jagtial,Jagtial,-10
38,Jaipur,Jaipur,-10
39,Jalandhar,Jalandhar,-10
40,Kadapa,Kadapa,-10
41,Kadi,Kadi,-10
42,Kadiri,Kadiri,-10
43,Kagaznagar,Kagaznagar,-10
44,Lahar,Lahar,-10
45,Laharpur,Laharpur,-10
46,Lakheri,Lakheri,-10
47,Lakhimpur,Lakhimpur,-10
48,Maddur,Maddur,-10
49,Madhepura,Madhepura,-10
50,Madhubani,Madhubani,-10
51,Madhugiri,Madhugiri,-10
52,Nabha,Nabha,-10
53,Nadbai,Nadbai,-10
54,Nagaon,Nagaon,-10
55,Obra,Obra,-10
56,Ongole,Ongole,-10
57,Orai,Orai,-10
58,Osmanabad,Osmanabad,-10
59,Pachore,Pachore,-10
60,Pacode,Pacode,-10
61,Padmanabhapuram,Padmanabhapuram,-10
62,Padra,Padra,-10
63,Qadian,Qadian,-10
64,Koyilandy,Koyilandy,-10
65,Radhanpur,Radhanpur,-10
66,Rae Bareli,Rae Bareli,-10
67,Bareilly,Bareilly,-10
68,Rafiganj,Rafiganj,-10
69,Raghogarh,Raghogarh,-10
70,Raghunathpur,Raghunathpur,-10
71,Sadasivpet,Sadasivpet,-10
72,Sadri,Sadri,-10
73,Sadulshahar,Sadulshahar,-10
74,Taki,Taki,-10
75,Talaja,Talaja,-10
76,Talcher,Talcher,-10
77,Talegaon,Talegaon,-10
78,Udaipur,Udaipur,-10
79,Udaipurwati,Udaipurwati,-10
80,Udgir,Udgir,-10
81,Udhagamandalam,Udhagamandalam,-10
82,Vadalur,Vadalur,-10
83,Vadgaon,Vadgaon,-10
84,Vadipatti,Vadipatti,-10
85,Vadnagar,Vadnagar,-10
86,Wadi,Wadi,-10
87,Wani,Wani,-10
88,Yanam,Yanam,-10
89,Yavatmal,Yavatmal,-10
90,Yawal,Yawal,-10
91,Yellandu,Yellandu,-10
92,Zaidpur,Zaidpur,-10
93,Zamania,Zamania,-10
94,Zira,Zira,-10
95,Zirakpur,Zirakpur,-10
96,Vatakara,Vatakara,-10
97,Vedaranyam,Vedaranyam,-10
98,Vellakoil,Vellakoil,-10
99,Vellore,Vellore,-10
100,Venkatagiri,Venkatagiri,-10
101,Veraval,Veraval,-10
102,Vidisha,Vidisha,-10
103,Vijainagar,Vijainagar,-10
104,Vijapur,Vijapur,-10
105,Vijaypur,Vijaypur,-10
