"NameSort","NameLine1","AddressCountry","AddressLine1","AddressState","AddressCity","NameSalutation","_Calendar"
"ONEX","ONECHICAGO, LLC.","","","","","","CBO"
"XADE","Athens Derivatives Exchange S.A., The","","","","","","AtX"
"XAMS","Euronext (Amsterdam) trading holidays","","","","","","AmX"
"XASE","American Stock Exchange","US","","","","","AmQ"
"XASX","Australian Stock Exchange","","","","","","SyX"
"XATH","Athens Stock Exchange trading holidays","","","","","","AtX"
"XBMF","Bolsa de Mercadorias y Futuros","","","","","","SPF"
"XBRU","Euronext (Brussels)","","","","","","BrX"
"XCBO-EQ","Chicago Board Options Exchange - Equity Contracts","US","","","","","CBO"
"XCBO-IR","Chicago Board Options Exchange - Interest Rate Contracts","US","","","","","CBP"
"XCBT-AGR","Chicago Board of Trade - Agricultural Contracts","US","","","","","MAS"
"TU","Chicago Board of Trade - Financial Contracts","US","","","","","CBT"
"XCBT-MTL","Chicago Board of Trade - Metals Contracts","US","","","","","MAR"
"XCBT-STI","Chicago Board of Trade - Stock index Contracts","US","","","","","CBV"
"XCEC","Commodities Exchange Center","US","","","","","NYM"
"XCME-AGR","Chicago Mercantile Exchange - Agricultural Contracts","US","","","","","CMH"
"XCME-CUR","Chicago Mercantile Exchange - Currency Contracts","","","","","","CMG"
"XCME-EQ","Chicago Mercantile Exchange - Equity Contracts","US","","","","","CMF"
"XCME-IR","Chicago Mercantile Exchange - Interest Rate Contracts","US","","","","","CME"
"XCSC","Coffee Sugar and Cocoa Exchange","US","","","","","CSF"
"XCSE","Copenhagen Stock Exchange","","","","","","CoX"
"XDWZ","Deutsche Borse","","","","","","FrX"
"XEUR-CH","Eurex - Swiss Non-CONF Contracts","","","","","","SOK"
"XEUR-CON","Eurex - CONF Contracts","","","","","","SOO"
"XEUR-DK","Eurex - Dutch Contacts","","","","","","SOG"
"XEUR-EU","Eurex - Euribor Contracts","","","","","","SOL"
"XEUR-FR","Eurex - French Contracts","","","","","","SOI"
"XEUR-GEQ","Eurex - German Equity Contracts","","","","","","SOM"
"XEUR-GFI","Eurex - German Fixed Income Contracts","","","","","","SOF"
"XEUR-IT","Eurex - Italian Contracts","","","","","","SOJ"
"XEUR-STX","Eurex - STOXX Contracts","","","","","","SON"
"XHEL","Helsinki Exchanges","","","","","","HeX"
"XHKF","Hong Kong Futures Exchange","","","","","","HKF"
"XHKG","Hong Kong Stock Exchange","","","","","","HKX"
"XJAS","JASDAQ","","","","","","JdX"
"XJSE","Johannesburg Stock Exchange","","","","","","JoX"
"XKLS","Kuala Lumpur Stock Exchange","","","","","","KLS"
"XLOF","Malaysia Derivatives Exchange BHD","","","","","","KLX"
"XKOR","Korea Stock Exchange","","","","","","SeX"
"XLIF-NUK","Euronext.liffe - Non UK Contracts","","","","","","MAT"
"XLIF-UK","Euronext.liffe - UK Financial Contracts","","","","","","LIF"
"XLIS","Euronext (Lisbon)","","","","","","LsX"
"XLME","London Metal Exchange","","","","","","LME"
"XLON","London Stock Exchange","","","","","","LnX"
"XMCE","Mercado Continuo (SIBE)","","","","","","MdX"
"XMEF","MEFF","","","","","","MEF"
"XMIL","Borsa Italiana (Milan)","","","","","","MiX"
