"Code","Description","PriceToleranceFlag","PriceTolerancePercentage"
"CASH","Cash","1","0.00"
"EQ-PREF","Preferred Stock","1","0.00"
"EQ-COMMON","Common Stock","1","0.00"
"FI-GOV","Government Bond","1","0.00"
"FI-CORP","Corporate Bond","1","0.00"
"FI-CONV","Convertible Bond","1","0.00"
"FUT-EQ-SYNTH","Synthetic Equity Future","0","0.00"
"FUT-EQ-INDEX","Equity Index Future","1","0.00"
"FUT-COMM","Commodity Future","1","0.00"
"FUT-IR","Interest Rate Future","1","0.00"
"FUT-BOND","Bond Future","1","0.00"
"FX-FWD","FX Forward","1","0.00"
"OP-EQ","Equity Option","1","0.00"
"SWAP-EQ","Equity Swap","1","0.00"
"SWAP-IR","Interest Rate Swap","1","0.00"
"SWAP-EQ-VAR","Equity Variance Swap","1","0.00"
"SWAP-COMM","Commodity Swap","1","0.00"
"FUT-FRA","Forward Rate Agreement","1","0.00"
"SWAPLEG-FLOAT","Interest Rate Swap - Floating Leg","1","0.00"
"SWAPLEG-FIXED","Interest Rate Swap - Fixed Leg","1","0.00"
"SWAPLEG-EQ-FIN","Equity Swap - Financing Leg","1","0.00"
"OP-EQ-FUT","Equity Future Option","1","0.00"
"OP-IRF","Interest Rate Future Option","1","0.00"
"OP-IRS","Interest Rate Swaption","1","0.00"
"OP-FX","FX Option","1","0.00"
"FI-TBILL","FI-T BILL","0","0.00"
"SWAP-EQ-CORR","Equity Correlation Swap","1","0.00"
"HOT-ISSUE","Hot Issue Security","0","0.00"
"Financing Bond","Financing Bond","0","0.00"
"EQ-PRIVATE","Private Investments","1","0.00"
"EQ-ADR","American Depository Receipt","0","0.00"
"144A-FI-CONV","144A Convertible Bond","1","0.00"
"OP-IDX","Index Option","1","0.00"
"SWAP-FX-VAR","FX Volatilty Swap","1","0.00"
"SWAP-FUT","Future Swap","1","0.00"
"CDS","Credit Derivative Swap","1","0.00"
"AQRGSSOFF2","AQR GSS OFFSHORE FD II","1","0.00"
"AQRCNHCA","AQR CNH CA MASTER ACCOUNT LP","1","0.00"
"AQRCNHMA","AQR CNH MASTER ACCOUNT LP","1","0.00"
"AQRSMID","AQR SMID CAP FUND, LTD.","1","0.00"
"AQRGAA","AQR GLOBAL ASSET ALLOCATION MASTER FUND, L.P.","1","0.00"
"SWAPLEG-MUNI","Muni Swap Leg","1","0.00"
"CDSLEG-FIXED","Credit Derivative Swap - Fixed Leg","1","0.00"
"CDSLEG-FLOAT","Credit Derivative Swap - Floating Leg","1","0.00"
"AQRARF","AQR ABSOLUTE RETURN MASTER ACCOUNT LP","1","0.00"
"MUNISWAPLEG-LIBOR","Muni Swap - Libor Leg","1","0.00"
"MUNISWAPLEG-MUNI","Muni Swap - Muni Leg","1","0.00"
"SWAP-MUNI","Muni Swap","1","0.00"
"AQRGDBTF","AQR Global Diversified Beta Tactical Fund","1","0.00"
"AQRGDBF","AQR Global Diversified Beta Fund","1","0.00"
"Cash","Cash and Equivalents","0","0.00"
"SWAP-OPT","Swaption","1","0.00"
"EQ-COM","Common Stock","0","0.00"
"EQ-DUT","Dutch Certificate","0","0.00"
"EQ-ETF","Exchange Traded Fund - Equity","0","0.00"
"EQ-GDR","GDR","0","0.00"
"EQ-HF","Hedge Fund","0","0.00"
"EQ-LTD","Limited Partnership","0","0.00"
"EQ-MSC","Misc.","0","0.00"
"EQ-PFD","Preferred Stock","0","0.00"
"EQ-REC","Receipt","0","0.00"
"EQ-REIT","Real Estate Investment Trust","0","0.00"
"EQ-RIGHT","Right","0","0.00"
"EQ-ROY","Royalty Trust","0","0.00"
"EQ-SWS","Swiss Certificate","0","0.00"
"EQ-UNIT","Unit","0","0.00"
"EQ-WRNT","Warrant","0","0.00"
"CNV-PFD","Convertible Preferred","1","0.00"
"Financing Leg","Financing Leg","0","0.00"
"SWAP-CMBS","Commericial Mortgage Backed Swap","1","0.00"
"EQ-AUT","Austrian Certificate","0","0.00"
"SWP-CNVB","Convertible Equity Swap","1","0.00"
"OP-COMM","Commodity Future Option","1","0.00"
"EQ-CRT","Equity Certificate","0","0.00"
"ACCT","MUTUAL FUND","0","0.00"
"AQRMFMFO","AQR Managed Futures Mutual Fund Offshore","1","0.00"
"OP-BDF","Bond Future Option","1","0.00"
"ACCT_RPMFO","AQR Risk Parity Offshore Fund Ltd.","1","0.00"
"ACCT_TMFMFO","Transamerica Managed Futures Mutual Fund Offshore","1","0.00"
"SWP-CNVP","Preferred Equity Swap","1","0.00"
"SWP-CRPB","Corporate Bond Swap","1","0.00"
"FI-TD","Time Deposit","1","0.00"
"ACCT_GRBMFO","AQR Global Risk Balanced Portfolio Offshore","1","0.00"
"REINS","Reinsurance Contract","0","0.00"
"ACCT_GRPF","AQR Global Risk Premium Fund","1","0.00"
"REINSB","Reinsurance Contract-Brokerage","0","0.00"
"REINSF","Reinsurance Contract-Fronting","0","0.00"
"REINSS","Reinsurance Contract-Sourcing","0","0.00"
"ACCT_DELTA","AQR Delta Master Fund","1","0.00"
"ACCT_GSS","AQR Global Stock Selection Master Fund, L.P.","1","0.00"
"ACCT_SEIRPFO","Accumulation Commodity Strategy Subsidiary Ltd.","1","0.00"
"ACCT_GTAAEF","AQR Extended GTAA Master Account, Ltd","1","0.00"
"ACCT_GRPTF","AQR Global Risk Premium Tactical Fund","1","0.00"
"ACCT_CNHCA","CNH CA Master Account, L.P.","1","0.00"
"ACCT_GAA","AQR Global Asset Allocation Master Account, L.P.","1","0.00"
"ACCT_RT","AQR RT Master Account, L.P.","1","0.00"
"BND-CAT","CAT BOND","1","0.00"
"BNK-LOAN","Bank Loan","1","0.00"
"REINST","Reinsurance Contract-Tax","0","0.00"
"SWAP-OCRE","Corporate Equity Option","1","0.00"
"COM-PAPR","Commercial Paper","0","0.00"
"CERT-DEP","Certificate of Deposit","0","0.00"
"FUT-FX","FUT-FX","1","0.00"
