SecurityIssuerId,SecurityIssuerCode,SecurityIssuerDesc,IssuerCountryId,DomicileCountryId,OverrideRiskCountryId,RiskCountryId,CountryId,OverrideRiskCurrencyId,RiskCurrencyId,OverrideGICsSubIndustryId,GICSSubIndustryId,BbergCompanyId,ActiveYN,PrimarySecurityId,OverrideNotes,LastModifiedBy,LastModifiedOn,RiskApprovedBy,RiskApprovedOn,OpsApprovedOn,OpsApprovedBy,RestrictedYN,RestrictionChangedBy,RestrictionChangedOn,RestrictionChangeNotes,CompanyDescFull
2,AAP US,Advance Auto Parts Inc,236,236,NULL,236,236,NULL,32,NULL,25504050,368234,0,NULL,NULL,SecurityResove,2010-12-02 15:57:00.477,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,ADS US,Alliance Data Systems Corp,236,236,NULL,236,236,NULL,32,NULL,45102020,901998,0,NULL,NULL,SecurityResove,2010-12-02 16:41:08.757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ADSK US,Autodesk Inc,236,236,NULL,236,236,NULL,32,NULL,45103010,101697,0,5,NULL,SecSetup,2010-12-02 16:43:31.463,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ADTN US,ADTRAN Inc,236,236,NULL,236,236,NULL,32,NULL,45201020,154473,0,6,NULL,SecSetup,2010-12-02 16:43:52.067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,BBBB US,Blackboard Inc,236,236,NULL,236,236,NULL,32,NULL,45103010,971901,0,7,NULL,SecSetup,2010-12-02 16:43:52.983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,BEAV US,BE Aerospace Inc,236,236,NULL,236,236,NULL,32,NULL,20101010,102381,0,8,NULL,SecSetup,2010-12-02 16:43:54.150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,BID US,Sotheby's,236,236,NULL,236,236,NULL,32,NULL,25302020,101366,0,9,NULL,SecSetup,2010-12-02 16:43:55.283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,BKE US,Buckle Inc/The,236,236,NULL,236,236,NULL,32,NULL,25504010,102456,0,10,NULL,SecSetup,2010-12-02 16:43:56.163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,BRK/A US,Berkshire Hathaway Inc,236,236,NULL,236,236,NULL,32,NULL,40301040,100193,0,11,NULL,SecSetup,2011-09-19 11:49:26.397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,C US,Citigroup Inc,236,236,NULL,236,236,NULL,32,NULL,40201020,101214,0,12,NULL,SecSetup,2010-12-02 16:43:57.700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,CAT US,Caterpillar Inc,236,236,NULL,236,236,NULL,32,NULL,20106010,100285,0,13,NULL,SecSetup,2010-12-02 16:43:58.817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,CBS US,CBS Corp,236,236,NULL,236,236,NULL,32,NULL,25401020,107674,0,14,NULL,SecSetup,2010-12-02 16:44:00.007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,CCE US,Coca-Cola Enterprises Inc,236,236,NULL,236,236,NULL,32,NULL,30201030,100354,0,NULL,,\jherr,2011-11-03 14:57:38.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,CCI US,Crown Castle International Cor,236,236,NULL,236,236,NULL,32,NULL,50102010,307493,0,16,NULL,SecSetup,2010-12-02 16:44:02.200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,CCK US,Crown Holdings Inc,236,236,NULL,236,236,NULL,32,NULL,15103010,100412,0,17,NULL,SecSetup,2010-12-02 16:44:03.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,CHD US,Church & Dwight Co Inc,236,236,NULL,236,236,NULL,32,NULL,30301010,100324,0,18,NULL,SecSetup,2010-12-02 16:44:03.980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,CI US,CIGNA Corp,236,236,NULL,236,236,NULL,32,NULL,35102030,100326,0,19,NULL,SecSetup,2010-12-02 16:44:04.923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,CL US,Colgate-Palmolive Co,236,236,NULL,236,236,NULL,32,NULL,30301010,100359,0,20,NULL,SecSetup,2010-12-02 16:44:05.997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,COH US,Coach Inc,236,236,NULL,236,236,NULL,32,NULL,25203010,1182041,0,21,NULL,SecSetup,2010-12-02 16:44:07.167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,COLM US,Columbia Sportswear Co,236,236,NULL,236,236,NULL,32,NULL,25203010,219874,0,22,NULL,SecSetup,2010-12-02 16:44:08.180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,COST US,Costco Wholesale Corp,236,236,NULL,236,236,NULL,32,NULL,30101040,101758,0,23,NULL,SecSetup,2010-12-02 16:44:09.200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,CREE US,Cree Inc,236,236,NULL,236,236,NULL,32,NULL,45301020,116934,0,24,NULL,SecSetup,2010-12-02 16:44:10.283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,CRI US,Carter's Inc,236,236,NULL,236,236,NULL,32,NULL,25203010,376102,0,25,NULL,SecSetup,2010-12-02 16:44:11.380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,CSIQ US,Canadian Solar Inc,236,15,NULL,15,15,NULL,32,NULL,45301020,11162837,0,26,NULL,SecSetup,2010-12-02 16:44:12.520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,CSTR US,Coinstar Inc,236,236,NULL,236,236,NULL,32,NULL,25302020,139674,0,27,NULL,SecSetup,2010-12-02 16:44:13.890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,DTV US,DIRECTV,236,236,NULL,236,236,NULL,32,NULL,25401025,8083075,0,28,NULL,SecSetup,2010-12-02 16:44:14.943,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,ELUXB SS,Electrolux AB,75,75,NULL,75,75,NULL,27,NULL,25201040,115706,0,30,NULL,SecSetup,2010-12-02 16:44:16.667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,EMC US,EMC Corp/Massachusetts,236,236,NULL,236,236,NULL,32,NULL,45202020,100513,0,31,NULL,Marty,2011-12-05 09:26:03.883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,ESI US,ITT Educational Services Inc,236,236,NULL,236,236,NULL,32,NULL,25302010,159357,0,32,NULL,SecSetup,2010-12-02 16:44:18.767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
